,МУ ВСЕГО,МУ Зерновые плюс зернобоб,МУ Картофель,МУ Овощи,МУ Подсолнечник,Энерг мощ лс/100га,Апр_R,Май_R,Июн_R,Year_Sum_R,Sum_Mar-May_R,Sum_Sen-Nov_R,Мар_t,Май_t,T_год_ср,Sum_Mar_Aug_T,ГТК,Зерновые т/га,Зерн и зернобоб т/га,Масличные т/га,Масличные 1 т/га,Зернобоб 1 т/га,Зерн и зернобоб 1 т/га,Картофель т/га,Овощи откр гр 1 т/га
2000.0,29.1,25.4,194.9,26.6,19.2,404,48.7,41.2,89.95,533.35,150.3,88.39999999999999,0.04999999999999999,12.649999999999999,7.708333333333334,2521.7,1.2170019828205576,2.156396862565295,2.152616479412755,14.108754181284164,1.42,1.98,2.17,9.237876980746295,10.671
2001.0,56.5,47.8,289.4,86.1,50.4,385,73.95,47.4,108.75,684.5500000000001,180.15,180.55,0.8500000000000001,13.1,7.658333333333333,2625.3,1.213417994016198,2.7021521401214685,2.675211743028351,12.174029318541997,1.26,1.9600000000000002,2.77,8.43352900552486,10.834
2002.0,64.5,59.6,150.8,59.7,62.8,366,20.6,74.15,59.2,592.1500000000001,118.85000000000001,209.64999999999998,4.1,14.45,8.029166666666665,2730.25,1.288869982952154,2.861811261478975,2.805445623150754,14.273158507115367,1.45,1.6199999999999999,2.84,8.022319093286836,10.794
2003.0,55.6,43.3,81.9,40.9,57.1,336,31.700000000000003,20.15,56.95,562.8,86.7,128.05,-3.4000000000000004,17.85,6.470833333333334,2290.8999999999996,1.109511475487802,2.045851963056036,2.0174158782266685,13.495961849088532,1.3800000000000001,1.6,2.06,10.22239775320344,11.45
2004.0,58.3,42.3,236.3,30.7,57,332,33.7,93.4,84.75,792.8999999999999,182.95,169.0,2.95,12.899999999999999,7.645833333333334,2428.0,1.7806833138930078,2.512031179918648,2.4843142155637565,10.03174487868662,1.02,1.9600000000000002,2.5,10.06947350069735,11.411
2005.0,69.4,54.6,97.5,85.6,66.9,315,16.8,66.14999999999999,132.45,737.25,112.45000000000002,151.34999999999997,-4.05,17.25,7.870833333333333,2451.45,1.2646420334281345,2.923383976028789,2.8675968772178853,12.896725636250777,1.31,1.9899999999999998,2.88,10.3739106949946,11.581999999999999
2006.0,84.6,65.8,304.7,50.0,74.6,306,22.85,73.2,42.55,561.25,153.54999999999998,146.55,-1.55,14.4,7.0875,2489.2,1.104071695728512,2.4953208235350575,2.432001727167148,14.163429198984144,1.44,1.64,2.4899999999999998,7.65788626609442,11.654
2007.0,91.3,70.7,189.3,267.7,62,277,17.4,38.2,96.1,595.5,79.75,219.14999999999998,3.95,17.5,8.779166666666667,2809.7,1.2008107626514612,2.64377045696068,2.5219839814216156,16.93437702790396,1.73,1.01,2.57,10.549363586054234,10.99
2008.0,102.57,85.31,221.88,270.54,94.65,249,70.1,47.0,20.0,469.35,169.25,99.89999999999999,4.300000000000001,13.25,8.3625,2685.6499999999996,0.9547444138353227,3.937426366162396,3.885078465458529,15.218432954406552,1.55,2.4899999999999998,3.9,8.76007173872003,11.78
2009.0,98.14,77.65,405.13,26.32,82.79,234,4.65,60.599999999999994,28.799999999999997,568.25,127.05,126.5,0.75,14.15,8.1875,2535.05,0.7627650636284633,2.9491658613498806,2.904612611295843,15.85623701177599,1.61,1.9300000000000002,2.94,8.27440509649616,10.64
